@relation 'twittertruth_forthoodshooting'
@attribute friend_count numeric
@attribute follower_count numeric
@attribute tweet_count numeric
@attribute is_verified {'TRUE', 'FALSE'}
@attribute is_user_url {'TRUE', 'FALSE'}
@attribute is_user_desc {'TRUE', 'FALSE'}
@attribute post_register_gap numeric
@attribute retweet {'TRUE', 'FALSE'}
@attribute retweet_count numeric
@attribute favorite_count numeric
@attribute tweet_length numeric
@attribute location_on {'TRUE', 'FALSE'}
@attribute hashtag_count numeric
@attribute mention_count numeric
@attribute url_count numeric
@attribute class {F, T}
@data
947,799,7431,FALSE,TRUE,FALSE,119,FALSE,0,0,81,TRUE,0,0,1,F
64,35,1135,FALSE,TRUE,FALSE,220,TRUE,0,0,140,FALSE,0,3,0,T
1243,11215,29673,FALSE,TRUE,TRUE,367,FALSE,0,0,140,FALSE,2,1,1,T
398,420,20433,FALSE,TRUE,TRUE,39,TRUE,0,0,63,FALSE,1,1,0,F
171,964,9299,FALSE,TRUE,FALSE,9,FALSE,0,0,86,FALSE,0,1,0,F
1049,290,7785,FALSE,TRUE,TRUE,46,FALSE,0,0,135,FALSE,2,1,1,F
1737,3535,37097,FALSE,TRUE,TRUE,292,TRUE,0,0,140,FALSE,1,1,1,T
1170,278,30944,FALSE,TRUE,FALSE,112,FALSE,0,0,94,FALSE,1,0,1,T
838,238,1080,FALSE,TRUE,TRUE,213,FALSE,0,0,101,FALSE,1,2,0,T
98,282,16163,FALSE,TRUE,FALSE,173,TRUE,0,0,63,FALSE,1,1,0,F
1081,374,960,FALSE,TRUE,FALSE,113,FALSE,0,0,140,FALSE,0,0,0,F
79,8,323,FALSE,FALSE,TRUE,93,FALSE,0,0,85,FALSE,1,1,1,F
125,22,1345,FALSE,TRUE,FALSE,18,FALSE,0,0,130,FALSE,0,0,1,T
64,68,1828,FALSE,TRUE,TRUE,159,FALSE,0,0,102,FALSE,0,3,0,T
267,321,3491,FALSE,TRUE,FALSE,152,FALSE,0,0,81,FALSE,0,2,1,T
5552,6018,65888,FALSE,TRUE,FALSE,254,TRUE,0,0,140,FALSE,2,2,0,T
273,293,664,FALSE,TRUE,TRUE,40,FALSE,0,0,139,FALSE,0,0,1,T
194,60,2976,FALSE,TRUE,FALSE,99,TRUE,0,0,63,FALSE,1,1,0,F
144,151,3640,FALSE,TRUE,FALSE,96,TRUE,0,0,63,FALSE,1,1,0,F
340,19,171,FALSE,TRUE,FALSE,58,FALSE,0,0,48,FALSE,1,0,1,F
108,62,1486,FALSE,TRUE,FALSE,32,TRUE,0,0,63,FALSE,1,1,0,F
329,151,11765,FALSE,TRUE,FALSE,273,FALSE,0,0,138,FALSE,1,1,0,T
130,190,7294,FALSE,TRUE,TRUE,35,TRUE,0,0,63,FALSE,1,1,0,F
1185,275,4491,FALSE,FALSE,FALSE,5,FALSE,0,0,140,FALSE,8,0,0,F
40,100,209,FALSE,TRUE,FALSE,106,FALSE,0,0,74,FALSE,0,0,1,F
261,160,5382,FALSE,TRUE,FALSE,30,TRUE,0,0,63,FALSE,1,1,0,F
222,229,2985,FALSE,TRUE,FALSE,1,TRUE,0,0,124,FALSE,1,3,0,T
11,573,48034,FALSE,TRUE,TRUE,3,FALSE,0,0,112,FALSE,2,0,1,F
11,573,48036,FALSE,TRUE,TRUE,3,FALSE,0,0,92,FALSE,2,0,1,F
11,573,48037,FALSE,TRUE,TRUE,3,FALSE,0,0,94,FALSE,2,0,1,F
11,573,48037,FALSE,TRUE,TRUE,3,FALSE,0,0,119,FALSE,2,0,1,F
11,573,48038,FALSE,TRUE,TRUE,3,FALSE,0,0,118,FALSE,2,0,1,F
106,19,392,FALSE,TRUE,FALSE,4,FALSE,0,0,80,FALSE,1,1,0,T
